G,Date,Time,Type,,Opponent,Conf,SRS,,Tm,Opp,OT,W,L,Streak,Arena
1,Mon Nov 6 2023,8:00p,REG,,Arkansas State,Sun Belt,-4.19,W,105,76,,1,0,W 1,
2,Fri Nov 10 2023,9:00p,REG,,Tennessee (9),SEC,22.24,L,70,80,,1,1,L 1,
3,Tue Nov 14 2023,6:00p,REG,@,Providence,Big East,11.62,L,59,72,,1,2,L 2,Dunkin' Donuts Center
4,Fri Nov 17 2023,7:00p,REG,,Robert Morris,Horizon,-6.98,W,78,68,,2,2,W 1,
5,Mon Nov 20 2023,6:00p,REG,N,Virginia (24),ACC,18.01,W,65,41,,3,2,W 2,Suncoast Credit Union Arena
6,Wed Nov 22 2023,8:30p,REG,N,Southern Methodist,AAC,12.29,W,69,61,,4,2,W 3,Suncoast Credit Union Arena
7,Mon Nov 27 2023,7:00p,REG,,Western Illinois,OVC,-9.91,W,71,49,,5,2,W 4,
8,Sat Dec 2 2023,12:30p,REG,,Marquette (3),Big East,22.85,W,75,64,,6,2,W 5,
9,Tue Dec 5 2023,7:00p,REG,@,Michigan State,Big Ten,15.01,W,70,57,,7,2,W 6,Breslin Events Center
10,Sat Dec 9 2023,3:15p,REG,@,Arizona (1),Pac-12,34.79,L,73,98,,7,3,L 1,McKale Center